📺卫视频道,#genre#
//更新日期-20250223-21:43-36个台
//电视直播APP公众号整理

湖南卫视,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225912/01.m3u8?fmt=ts2hls

内蒙卫视,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225676/01.m3u8?fmt=ts2hls

辽宁卫视,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225902/01.m3u8?fmt=ts2hls

浙江卫视,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225906/01.m3u8?fmt=ts2hls

天津卫视,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225907/01.m3u8?fmt=ts2hls

江苏卫视,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225909/01.m3u8?fmt=ts2hls

北京卫视,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225913/01.m3u8?fmt=ts2hls

重庆卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225731/01.m3u8?fmt=ts2hls

辽宁卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225902/01.m3u8?fmt=ts2hls

浙江卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225906/01.m3u8?fmt=ts2hls

天津卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225907/01.m3u8?fmt=ts2hls

江苏卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225909/01.m3u8?fmt=ts2hls

湖南卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225912/01.m3u8?fmt=ts2hls

北京卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225913/01.m3u8?fmt=ts2hls

江西卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225756/01.m3u8?fmt=ts2hls

内蒙卫视,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225676/01.m3u8?fmt=ts2hls

四川卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225733/01.m3u8?fmt=ts2hls

辽宁卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225902/01.m3u8?fmt=ts2hls

浙江卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225906/01.m3u8?fmt=ts2hls

天津卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225907/01.m3u8?fmt=ts2hls

江苏卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225909/01.m3u8?fmt=ts2hls

湖南卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225912/01.m3u8?fmt=ts2hls

北京卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225913/01.m3u8?fmt=ts2hls

海南卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225930/01.m3u8?fmt=ts2hls

内蒙卫视,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225676/01.m3u8?fmt=ts2hls

甘肃卫视,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225958/01.m3u8?fmt=ts2hls

浙江卫视,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225906/01.m3u8?fmt=ts2hls

天津卫视,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225907/01.m3u8?fmt=ts2hls

江苏卫视,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225909/01.m3u8?fmt=ts2hls

湖南卫视,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225912/01.m3u8?fmt=ts2hls

北京卫视,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225913/01.m3u8?fmt=ts2hls

辽宁卫视,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225902/01.m3u8?fmt=ts2hls

辽宁卫视,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225902/01.m3u8?fmt=ts2hls

浙江卫视,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225906/01.m3u8?fmt=ts2hls

