🎬影院轮播,#genre#
//9个台
欧美电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=24923327

豆瓣高分,http://epg.112114.xyz/douyu/8770422

经典电影,http://epg.112114.xyz/douyu/74374

蓝光轮播,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=24066336

电影轮播,http://epg.112114.xyz/douyu/252802

轮播电影,http://epg.112114.xyz/douyu/36337

CHC动作电影,http://111.20.40.166/PLTV/88888893/224/3221226465/index.m3u8

CHC高清电影,http://111.20.40.166/PLTV/88888893/224/3221226463/index.m3u8

CHC家庭影院,http://111.20.40.166/PLTV/88888893/224/3221226462/index.m3u8

